term_id	canonical_term	definition_owner	status	change_rule
WM-TERM-0306	source evidence	SPEC-003	locked	ADR plus schema feature trace and ledger update
WM-TERM-0307	Source evidence registry for every external symbol and command	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0308	source format	SPEC-021	locked	ADR plus schema feature trace and ledger update
WM-TERM-0309	source index	SPEC-018	locked	ADR plus schema feature trace and ledger update
WM-TERM-0310	Specification requirement trace gate	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0311	speed-walking	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0312	speedwalk throttling	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0313	spellcheck/autocorrect	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0314	spoken help and setup summaries	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0315	spoken room/map/quest/combat/setup summaries	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0316	sprite overlay	SPEC-016	locked	ADR plus schema feature trace and ledger update
WM-TERM-0317	SQLite	SPEC-011	locked	ADR plus schema feature trace and ledger update
WM-TERM-0318	SSH dynamic-forward profile	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0319	staged rollout	SPEC-020	locked	ADR plus schema feature trace and ledger update
WM-TERM-0320	staged rollout and kill switch metadata	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0321	static/low-power/no-animation modes	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0322	status bars/gauges	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0323	strangler migration	SPEC-002	locked	ADR plus schema feature trace and ledger update
WM-TERM-0324	stream frame	SPEC-024	locked	ADR plus schema feature trace and ledger update
WM-TERM-0325	structured event fingerprints and correlation IDs	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0326	structured log	SPEC-026	locked	ADR plus schema feature trace and ledger update
WM-TERM-0327	STT	SPEC-015	locked	ADR plus schema feature trace and ledger update
WM-TERM-0328	style capsules from World Bible	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0329	subtitles/transcript controls	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0330	sync branch	SPEC-001	locked	ADR plus schema feature trace and ledger update
WM-TERM-0331	tab/entity/command-template completion	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0332	Tactical Agent	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0333	Tactical HUD	SPEC-012	locked	ADR plus schema feature trace and ledger update
WM-TERM-0334	telemetry event	SPEC-019	locked	ADR plus schema feature trace and ledger update
WM-TERM-0335	Telnet	SPEC-006	locked	ADR plus schema feature trace and ledger update
WM-TERM-0336	Telnet basics	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0337	terminal	SPEC-007	locked	ADR plus schema feature trace and ledger update
WM-TERM-0338	terminal frame buffer	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0339	terminal pane	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0340	test double zone	SPEC-027	locked	ADR plus schema feature trace and ledger update
WM-TERM-0341	text-only fallback	SPEC-007	locked	ADR plus schema feature trace and ledger update
WM-TERM-0342	threat model	SPEC-022	locked	ADR plus schema feature trace and ledger update
WM-TERM-0343	Time Machine Memory	SPEC-012	locked	ADR plus schema feature trace and ledger update
WM-TERM-0344	timers	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0345	TLS	SPEC-006	locked	ADR plus schema feature trace and ledger update
WM-TERM-0346	TLS/telnets path	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0347	Token Budget	SPEC-013	locked	ADR plus schema feature trace and ledger update
WM-TERM-0348	Token Budget Agent	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0349	token budget and cost audit	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0350	Token Budget Dashboard	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0351	Tor-compatible local SOCKS endpoint profile	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0352	trace	SPEC-026	locked	ADR plus schema feature trace and ledger update
WM-TERM-0353	transcript chunk	SPEC-011	locked	ADR plus schema feature trace and ledger update
WM-TERM-0354	trigger/macro packs	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0355	Trigger Test Lab	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0356	trigger wizard	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0357	triggers	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0358	trust boundary	SPEC-022	locked	ADR plus schema feature trace and ledger update
WM-TERM-0359	TTS	SPEC-015	locked	ADR plus schema feature trace and ledger update
WM-TERM-0360	typed AnimalSeen event	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0361	typed CombatStarted and CombatEnded events	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0362	typed CommandSucceeded and CommandFailed events	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0363	typed ExitSeen event	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0364	typed ItemSeen and QuestClueSeen events	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0365	typed MobSeen event	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0366	typed PKerOrPvPerSeen event	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0367	typed PlayerSeen event	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0368	typed PromptSeen and HealthChanged events	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0369	typed RendererEmitCandidate event	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0370	typed RoomSeen event	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0371	typed SocialMessageSeen and redacted private message events	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0372	update lane	SPEC-020	locked	ADR plus schema feature trace and ledger update
WM-TERM-0373	upstream	SPEC-001	locked	ADR plus schema feature trace and ledger update
WM-TERM-0374	upstream baseline	SPEC-001	locked	ADR plus schema feature trace and ledger update
WM-TERM-0375	Upstream synchronization rehearsal and rollback	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0376	user correction and supersession workflow	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0377	user-reviewed diagnostic export	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0378	variables/state tables	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0379	vector index	SPEC-011	locked	ADR plus schema feature trace and ledger update
WM-TERM-0380	visible AI command queue	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0381	visual emit	SPEC-016	locked	ADR plus schema feature trace and ledger update
WM-TERM-0382	voice cancellation and load shedding	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0383	Voice Companion	SPEC-015	locked	ADR plus schema feature trace and ledger update
WM-TERM-0384	Voice Companion Agent	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0385	voice macro	SPEC-015	locked	ADR plus schema feature trace and ledger update
WM-TERM-0386	voice macros	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0387	voice style	SPEC-015	locked	ADR plus schema feature trace and ledger update
WM-TERM-0388	wake phrase	SPEC-015	locked	ADR plus schema feature trace and ledger update
WM-TERM-0389	WAL	SPEC-011	locked	ADR plus schema feature trace and ledger update
WM-TERM-0390	weighted and timed routing	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0391	Why explanation	SPEC-014	locked	ADR plus schema feature trace and ledger update
WM-TERM-0392	Windows macOS and Linux installer and upgrade certification	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0393	WireCore	SPEC-002	locked	ADR plus schema feature trace and ledger update
WM-TERM-0394	WireCore crash and hang isolation	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0395	WireMudder	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0396	WireMudder native bridge	SPEC-002	locked	ADR plus schema feature trace and ledger update
WM-TERM-0397	worker boundary	SPEC-002	locked	ADR plus schema feature trace and ledger update
WM-TERM-0398	workspace	SPEC-007	locked	ADR plus schema feature trace and ledger update
WM-TERM-0399	world	SPEC-023	locked	ADR plus schema feature trace and ledger update
WM-TERM-0400	World Bible	SPEC-012	locked	ADR plus schema feature trace and ledger update
WM-TERM-0401	World Brain	SPEC-012	locked	ADR plus schema feature trace and ledger update
WM-TERM-0402	world onboarding wizard	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0403	world pack	SPEC-008	locked	ADR plus schema feature trace and ledger update
WM-TERM-0404	world packs	SPEC-000	locked	ADR plus schema feature trace and ledger update
WM-TERM-0405	zones and area clustering	SPEC-000	locked	ADR plus schema feature trace and ledger update
